U(V),I(A),P1(W),T(N.m),n(r/min),P2(W),EFF(%)
11.89,1.026,12.20,0.28,60.0,1.758,14.42
11.89,1.552,18.45,1.01,58.4,6.181,33.50
11.89,2.078,24.70,1.74,56.9,10.37,41.99
11.89,2.604,30.96,2.47,55.4,14.34,46.31
11.89,3.130,37.21,3.20,53.9,18.07,48.56
11.89,3.656,43.46,3.93,52.4,21.57,49.63
11.89,4.182,49.72,4.66,50.9,24.84,49.96
11.89,4.708,55.97,5.38,49.4,27.88,49.82
11.89,5.234,62.22,6.11,47.9,30.69,49.33
11.89,5.760,68.47,6.84,46.4,33.27,48.59
11.89,6.286,74.73,7.57,44.9,35.62,47.67
11.89,6.812,80.98,8.30,43.4,37.74,46.61
11.89,7.338,87.23,9.03,41.9,39.63,45.43
11.89,7.864,93.49,9.76,40.4,41.29,44.17
11.89,8.390,99.74,10.49,38.8,42.72,42.83
11.89,8.916,106.0,11.22,37.3,43.92,41.44
11.89,9.442,112.2,11.95,35.8,44.89,39.99
11.89,9.968,118.5,12.68,34.3,45.63,38.51
11.89,10.49,124.8,13.41,32.8,46.14,36.98
11.89,11.02,131.0,14.14,31.3,46.42,35.43
11.89,11.55,137.3,14.87,29.8,46.46,33.85
11.89,12.07,143.5,15.59,28.3,46.28,32.25
11.89,12.60,149.8,16.32,26.8,45.87,30.63
11.89,13.12,156.0,17.05,25.3,45.23,28.99
11.89,13.65,162.3,17.78,23.8,44.35,27.33
11.89,14.18,168.5,18.51,22.3,43.25,25.66
11.89,14.70,174.8,19.24,20.8,41.92,23.98
11.89,15.23,181.0,19.97,19.2,40.35,22.29
11.89,15.75,187.3,20.70,17.7,38.56,20.59
11.89,16.28,193.5,21.43,16.2,36.53,18.88
11.89,16.81,199.8,22.16,14.7,34.28,17.16
11.89,17.33,206.0,22.89,13.2,31.79,15.43
11.89,17.86,212.3,23.62,11.7,29.08,13.70
11.89,18.38,218.5,24.35,10.2,26.13,11.96
11.89,18.91,224.8,25.08,8.7,22.96,10.21
11.89,19.44,231.1,25.80,7.2,19.55,8.462
11.89,19.96,237.3,26.53,5.7,15.92,6.707
11.89,20.49,243.6,27.26,4.2,12.05,4.947
11.89,21.01,249.8,27.99,2.7,7.954,3.184
11.89,21.54,256.1,28.72,1.2,3.627,1.416
11.89,21.96,261.1,29.31,0.0,0.000,0.000
